variant,base_model,sampler_label,sampler_id,temp,top_p,top_k,run_id,run_json,version,timestamp,model_id,machine_gpu,machine_gpu_memory_gb,machine_endpoint,provider,harness,harness_version,total_runtime_sec,overall_score,quality_score,speed_score,reliability_score,value_score,speed_metrics_ttft_ms,speed_metrics_prompt_eval_tok_per_sec,speed_metrics_generation_tok_per_sec,speed_metrics_total_latency_ms,suite_agent_score,suite_agent_task_count,suite_agent_pass_count,suite_agent_fail_count,suite_agent_median_latency_ms,suite_coding_score,suite_coding_task_count,suite_coding_pass_count,suite_coding_fail_count,suite_coding_median_latency_ms,suite_dataextract_score,suite_dataextract_task_count,suite_dataextract_pass_count,suite_dataextract_fail_count,suite_dataextract_median_latency_ms,suite_instructfollow_score,suite_instructfollow_task_count,suite_instructfollow_pass_count,suite_instructfollow_fail_count,suite_instructfollow_median_latency_ms,suite_reasonmath_score,suite_reasonmath_task_count,suite_reasonmath_pass_count,suite_reasonmath_fail_count,suite_reasonmath_median_latency_ms,suite_speed_score,suite_speed_task_count,suite_speed_pass_count,suite_speed_fail_count,suite_speed_median_latency_ms,suite_toolcall_score,suite_toolcall_task_count,suite_toolcall_pass_count,suite_toolcall_fail_count,suite_toolcall_median_latency_ms
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,original,temp100_top_p095_top_k64,1,0.95,64,2026-06-05T23:07:10.218031+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp100_top_p095_top_k64,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL.run.json,0.1.0,2026-06-05T23:07:10.218031+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,535.5820287080132,79.77114138576779,84.12166666666667,73.42,75.28089887640449,35.01575076093192,0,0,55.293079427829596,3333.0754583326375,96.88,8,7,1,0,100,12,12,0,13875.344332998793,70.07,15,6,9,3453.8614580087597,67.78,15,8,7,828.6402499943506,80,15,12,3,8575.006999992183,73.42,9,9,0,2872.287584003061,90,15,13,2,407.6292499958072
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p085_top_k40,0.8,0.85,40,2026-06-06T10:12:23.332552+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40.run.json,0.1.0,2026-06-06T10:12:23.332552+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p085_top_k40,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1039.6995768329944,77.3091413857678,84.12166666666667,61.11,75.28089887640449,17.814322689109208,0,0,28.130448098257105,6286.815254784112,96.88,8,7,1,0,100,12,12,0,27208.523479508585,70.07,15,6,9,6468.053958000382,67.78,15,8,7,1692.5965410191566,80,15,12,3,16097.835666005267,61.11,9,9,0,5534.636041993508,90,15,13,2,774.2981250048615
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp085_top_p090_top_k47,0.85,0.9,47,2026-06-06T08:01:19.119785+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp085_top_p090_top_k47,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp085_top_p090_top_k47.run.json,0.1.0,2026-06-06T08:01:19.119785+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp085_top_p090_top_k47,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1053.5529717079771,77.2431413857678,84.12166666666667,60.78,75.28089887640449,17.515075652957734,0,0,27.657909604039602,6406.098347218682,96.88,8,7,1,0,100,12,12,0,26687.098770504235,70.07,15,6,9,6558.139083004789,67.78,15,8,7,1826.938667014474,80,15,12,3,16286.415874987142,60.78,9,9,0,5470.874916994944,90,15,13,2,884.6239999984391
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp095_top_p093_top_k58,0.95,0.93,58,2026-06-06T06:33:35.138727+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp095_top_p093_top_k58,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp095_top_p093_top_k58.run.json,0.1.0,2026-06-06T06:33:35.138727+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp095_top_p093_top_k58,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1068.7767501670023,77.2411413857678,84.12166666666667,60.77,75.28089887640449,17.473606738016876,0,0,27.592426386979213,6434.795782561802,96.88,8,7,1,0,100,12,12,0,28992.704749995028,70.07,15,6,9,6839.252458012197,67.78,15,8,7,1864.7947080025915,80,15,12,3,16016.41495799413,60.77,9,9,0,5356.65929201059,90,15,13,2,843.464417004725
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp075_top_p090_top_k40,0.75,0.9,40,2026-06-06T09:28:47.938337+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40.run.json,0.1.0,2026-06-06T09:28:47.938337+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp075_top_p090_top_k40,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1051.7042115000077,77.2351413857678,84.12166666666667,60.74,75.28089887640449,17.461462783583553,0,0,27.57324997001091,6444.912148109223,96.88,8,7,1,0,100,12,12,0,27625.176312503754,70.07,15,6,9,6974.795999994967,67.78,15,8,7,1660.7393330195919,80,15,12,3,16082.739875011612,60.74,9,9,0,5453.369082999416,90,15,13,2,916.4406250056345
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp080_top_p090_top_k43,0.8,0.9,43,2026-06-06T08:45:23.828555+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p090_top_k43,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p090_top_k43.run.json,0.1.0,2026-06-06T08:45:23.828555+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp080_top_p090_top_k43,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1055.5158647090138,77.2271413857678,84.12166666666667,60.7,75.28089887640449,17.413390502562887,0,0,27.497339432752973,6455.30749999711,96.88,8,7,1,0,100,12,12,0,27130.35399999353,70.07,15,6,9,7227.519457985181,67.78,15,8,7,1780.0213329901453,80,15,12,3,16355.237458017655,60.7,9,9,0,5407.952874986222,90,15,13,2,926.7577909922693
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E2B-it-qat-UD-Q4_K_XL,sweep,temp090_top_p091_top_k52,0.9,0.91,52,2026-06-06T07:17:18.800668+00:00-gemma-4-E2B-it-qat-UD-Q4_K_XL-temp090_top_p091_top_k52,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E2B-it-qat-UD-Q4_K_XL-temp090_top_p091_top_k52.run.json,0.1.0,2026-06-06T07:17:18.800668+00:00,gemma-4-E2B-it-qat-UD-Q4_K_XL-temp090_top_p091_top_k52,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1063.0766215409967,77.0731413857678,84.12166666666667,59.93,75.28089887640449,16.911275058092723,0,0,26.70445313016924,6425.551203778014,96.88,8,7,1,0,100,12,12,0,27227.56862550159,70.07,15,6,9,6977.453291998245,67.78,15,8,7,1933.8465830078349,80,15,12,3,16438.331665995065,59.93,9,9,0,5458.948750019772,90,15,13,2,942.7743749984074
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E4B-it-qat-UD-Q4_K_XL,original,temp100_top_p095_top_k64,1,0.95,64,2026-06-05T23:36:58.851555+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-temp100_top_p095_top_k64,results/benchloop/qat-latest-llamacpp-all-suites-temp1-top_p095-top_k64/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL.run.json,0.1.0,2026-06-05T23:36:58.851555+00:00,gemma-4-E4B-it-qat-UD-Q4_K_XL,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,757.3009243330016,77.53422471910113,83.32000000000001,64.44,75.28089887640449,21.16869601611705,0,0,33.74893318037305,5191.336680666103,96.88,8,7,1,0,100,12,12,0,21996.322354010772,81.37,15,9,6,5379.371666000225,66.67,15,8,7,1415.1008329936303,80,15,12,3,10307.471541993436,64.44,9,9,0,4622.170957998605,75,15,10,5,711.306416997104
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp095_top_p093_top_k58,0.95,0.93,58,2026-06-06T06:51:27.531529+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-temp095_top_p093_top_k58,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-temp095_top_p093_top_k58.run.json,0.1.0,2026-06-06T06:51:27.531529+00:00,gemma-4-E4B-it-qat-UD-Q4_K_XL-temp095_top_p093_top_k58,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1549.0844712090038,74.97622471910113,83.32000000000001,51.65,75.28089887640449,10.47062352151708,0,0,16.693157354400945,10653.267162114693,96.88,8,7,1,0,100,12,12,0,44057.62110449723,81.37,15,9,6,10017.424124991521,66.67,15,8,7,3036.967291001929,80,15,12,3,20977.405582991196,51.65,9,9,0,8911.135916016065,75,15,10,5,1789.7304159996565
qat_e2b_e4b_sampler_sweep_all_suites,gemma-4-E4B-it-qat-UD-Q4_K_XL,sweep,temp085_top_p090_top_k47,0.85,0.9,47,2026-06-06T08:18:55.244902+00:00-gemma-4-E4B-it-qat-UD-Q4_K_XL-temp085_top_p090_top_k47,results/benchloop/qat-e2b-e4b-sampler-sweep-all-suites/run-json/gemma-4-E4B-it-qat-UD-Q4_K_XL-temp085_top_p090_top_k47.run.json,0.1.0,2026-06-06T08:18:55.244902+00:00,gemma-4-E4B-it-qat-UD-Q4_K_XL-temp085_top_p090_top_k47,Apple M1 Pro,25,http://127.0.0.1:8091,openai_compat,raw,v1,1586.4401495409838,74.92622471910113,83.32000000000001,51.4,75.28089887640449,10.321909087597405,0,0,16.45606417258706,10713.1710415512,96.88,8,7,1,0,100,12,12,0,44206.29289600765,81.37,15,9,6,10709.09787499113,66.67,15,8,7,3489.8250410042237,80,15,12,3,22122.41604097653,51.4,9,9,0,9083.948083978612,75,15,10,5,1696.2677499977872
